City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,22.45,65,12,5.67,EC,1730922684
1,bethel,41.3712,-73.414,26.48,56,0,7.2,US,1730922685
2,papatowai,-46.5619,169.4708,14.22,73,100,0.55,NZ,1730922686
3,olonkinbyen,70.9221,-8.7187,-2.39,82,14,20.96,SJ,1730922688
4,puquio,-14.7,-74.1333,16.69,34,20,7.74,PE,1730922689
5,grytviken,-54.2811,-36.5092,1.16,56,86,1.79,GS,1730922690
6,port elizabeth,-33.918,25.5701,13.51,87,40,1.03,ZA,1730922691
7,margaret river,-33.95,115.0667,10.93,70,7,3.53,AU,1730922692
8,st. john's,47.5649,-52.7093,10.54,95,100,7.2,CA,1730922609
9,invercargill,-46.4,168.35,12.23,92,87,0.45,NZ,1730922694
10,chinde,26.8212,87.7095,18.91,68,0,3.07,NP,1730922695
11,sanctuary point,-35.1114,150.629,20.93,67,100,1.33,AU,1730922696
12,arkhipo-osipovka,44.37,38.52,10.44,71,95,4.93,RU,1730922681
13,avarua,-21.2078,-159.775,24.03,64,100,3.6,CK,1730922700
14,jamestown,42.097,-79.2353,17.23,91,100,3.6,US,1730922701
15,port-aux-francais,-49.35,70.2167,3.19,72,44,8.8,TF,1730922702
16,belyy yar,53.6039,91.3903,-2.06,100,75,3.0,RU,1730922703
17,eruh,37.7517,42.1811,5.81,55,0,1.46,TR,1730922704
18,adamstown,-25.066,-130.1015,22.68,80,100,0.79,PN,1730922705
19,kingston,17.997,-76.7936,31.53,70,40,7.2,JM,1730922536
20,bredasdorp,-34.5322,20.0403,15.23,72,4,5.82,ZA,1730922707
21,lebu,-37.6167,-73.65,13.32,66,63,6.97,CL,1730922708
22,longyearbyen,78.2186,15.6401,-8.09,93,20,6.17,SJ,1730922709
23,anloga,5.7947,0.8973,27.7,77,4,4.03,GH,1730922710
24,yellowknife,62.456,-114.3525,0.23,98,75,3.09,CA,1730922634
25,nemuro,43.3236,145.575,4.13,95,100,5.94,JP,1730922712
26,k'olito,7.3167,38.0833,17.2,60,88,1.73,ET,1730922714
27,port moresby,-9.4431,147.1797,24.68,88,40,1.54,PG,1730922618
28,hermanus,-34.4187,19.2345,16.56,77,3,7.27,ZA,1730922716
29,lompoc,34.6391,-120.4579,22.85,45,0,4.63,US,1730922717
30,shimoda,34.6667,138.95,16.09,82,100,4.01,JP,1730922718
31,ostersund,63.1792,14.6357,5.25,84,75,3.09,SE,1730922719
32,stanley,54.868,-1.6985,12.01,90,75,1.54,GB,1730922632
33,blackmans bay,-43.0167,147.3167,10.29,65,3,0.89,AU,1730922721
34,tiksi,71.6872,128.8694,-12.66,69,100,7.51,RU,1730922619
35,vikulovo,56.8167,70.6107,-2.13,97,100,4.24,RU,1730922723
36,trinity beach,-16.7888,145.6968,22.94,78,92,0.51,AU,1730922724
37,n'zeto,-7.2312,12.8666,25.51,86,86,3.18,AO,1730922725
38,ambon,-3.6954,128.1814,26.6,95,40,3.09,ID,1730922726
39,ayora,39.0585,-1.0563,13.44,96,9,1.89,ES,1730922727
40,souillac,-20.5167,57.5167,25.21,73,75,6.17,MU,1730922728
41,kodiak,57.79,-152.4072,3.73,81,75,5.14,US,1730922730
42,san pedro pochutla,15.7333,-96.4667,29.1,71,100,2.26,MX,1730922731
43,edinburgh of the seven seas,-37.0676,-12.3116,14.79,87,13,6.52,SH,1730922732
44,antsiranana,-12.2787,49.2917,24.74,82,86,7.25,MG,1730922733
45,yukhnov,54.7444,35.2297,6.13,93,100,5.21,RU,1730922734
46,bilibino,68.0546,166.4372,-23.2,100,100,0.51,RU,1730922735
47,isafjordur,66.0755,-23.124,2.05,81,100,2.16,IS,1730922736
48,aasiaat,68.7098,-52.8699,-12.55,93,91,3.44,GL,1730922737
49,tshikapa,-6.4167,20.8,22.77,88,99,0.85,CD,1730922738
50,toliara,-23.35,43.6667,25.65,77,100,2.63,MG,1730922739
51,puerto natales,-51.7236,-72.4875,11.25,43,40,7.2,CL,1730922740
52,port lincoln,-34.7333,135.8667,14.79,83,70,7.55,AU,1730922741
53,udachny,66.4167,112.4,-9.23,95,100,2.6,RU,1730922743
54,kangding,30.0513,101.9603,8.15,93,100,0.61,CN,1730922744
55,santa cruz do capibaribe,-7.9575,-36.2047,26.07,59,48,6.71,BR,1730922745
56,vorkuta,67.5,64.0,-6.41,96,100,4.02,RU,1730922746
57,broken hill,-31.95,141.4333,17.59,50,100,7.25,AU,1730922747
58,west island,-12.1568,96.8225,26.99,83,75,7.72,CC,1730922748
59,shilovo,54.3204,40.874,-0.01,98,100,4.96,RU,1730922669
60,port mathurin,-19.6833,63.4167,24.24,76,88,10.27,MU,1730922750
61,dudinka,69.4058,86.1778,-6.28,94,100,6.89,RU,1730922751
62,colac,-38.3333,143.5833,7.68,91,1,0.29,AU,1730922752
63,forster,-32.1667,152.5167,21.61,79,100,3.13,AU,1730922753
64,qamdo,31.1667,97.2333,-1.1,71,100,1.67,CN,1730922754
65,red hill,33.9996,-79.2581,27.83,60,99,3.79,US,1730922755
66,marsh harbour,26.5412,-77.0636,26.43,84,90,10.07,BS,1730922756
67,pisco,-13.7,-76.2167,21.03,78,40,4.12,PE,1730922581
68,mocimboa,-11.3167,40.35,25.26,91,29,3.01,MZ,1730922758
69,ribeira grande,38.5167,-28.7,17.22,55,20,7.2,PT,1730922759
70,wailua homesteads,22.0669,-159.378,25.44,89,75,7.72,US,1730922761
71,galliano,29.4422,-90.2992,29.0,58,0,2.06,US,1730922762
72,sosnytsya,51.5239,32.4999,5.49,92,60,4.87,UA,1730922763
73,college,64.8569,-147.8028,-4.96,86,75,0.0,US,1730922764
74,tolanaro,-25.0319,46.9987,24.04,83,0,9.26,MG,1730922765
75,yinchuan,38.4681,106.2731,9.74,44,0,0.9,CN,1730922766
76,chandler,33.3062,-111.8412,19.9,26,0,7.72,US,1730922767
77,khandyga,62.6667,135.6,-22.45,98,99,1.39,RU,1730922768
78,port douglas,-16.4833,145.4667,24.19,75,94,3.32,AU,1730922769
79,berezovo,63.9381,65.0419,-15.18,97,40,1.15,RU,1730922770
80,nar'yan-mar,67.6713,53.087,-7.41,96,88,2.71,RU,1730922771
81,navia,43.5354,-6.7194,15.97,84,1,1.42,ES,1730922772
82,waitangi,-43.9535,-176.5597,14.9,95,83,0.45,NZ,1730922773
83,ushuaia,-54.8,-68.3,7.81,46,75,3.6,AR,1730922523
84,ancud,-41.8697,-73.8203,11.85,54,12,2.79,CL,1730922776
85,pokrovsk,48.282,37.1758,5.08,80,100,4.67,UA,1730922778
86,filadelfia,39.9523,-75.1638,27.78,56,75,7.2,US,1730922629
87,talnakh,69.4865,88.3972,-7.99,95,100,3.88,RU,1730922780
88,iqaluit,63.7506,-68.5145,-4.15,79,100,2.06,CA,1730922782
89,saipan,15.1355,145.701,24.39,94,100,3.09,MP,1730922783
90,taoudenni,22.6783,-3.9836,30.32,13,74,4.84,ML,1730922784
91,siwa oasis,29.2041,25.5195,21.96,49,100,6.69,EG,1730922785
92,jiangyou,31.7667,104.7167,15.27,85,100,0.59,CN,1730922786
93,dunedin,-45.8742,170.5036,13.86,87,15,2.24,NZ,1730922787
94,sai buri,6.7013,101.6168,24.98,85,99,1.14,TH,1730922788
95,loreto,22.2667,-101.9667,25.33,23,0,5.6,MX,1730922789
96,mach,29.8637,67.3298,23.42,20,0,3.6,PK,1730922790
97,enewetak,11.3474,162.3373,28.52,80,14,8.49,MH,1730922792
98,trancas,-26.2314,-65.2803,25.95,56,100,1.75,AR,1730922793
99,dewa,27.0333,81.1667,22.95,57,0,0.77,IN,1730922794
100,chandbali,20.7833,86.7667,23.49,83,0,1.78,IN,1730922795
101,qaqortoq,60.7167,-46.0333,-11.79,73,0,2.46,GL,1730922797
102,tire,38.0888,27.7351,11.68,44,1,3.74,TR,1730922798
103,dubrowna,54.5733,30.6906,7.14,86,100,5.23,BY,1730922799
104,brookings,44.3114,-96.7984,5.0,93,100,0.0,US,1730922800
105,luderitz,-26.6481,15.1594,14.69,71,5,0.31,NA,1730922801
106,kerikeri,-35.2268,173.9474,16.06,86,19,0.84,NZ,1730922802
107,bamboo flat,11.7,92.7167,25.05,100,100,1.03,IN,1730922803
108,argo,37.6333,22.7333,11.34,76,4,3.15,GR,1730922804
109,kavaratti,10.5669,72.642,27.93,74,5,3.13,IN,1730922805
110,bafra,41.5678,35.9069,9.28,67,81,2.18,TR,1730922806
111,iskateley,67.6803,53.1512,-7.31,96,90,2.78,RU,1730922807
112,northam,51.0333,-4.2167,12.56,95,84,4.05,GB,1730922808
113,hawaiian paradise park,19.5933,-154.9731,27.16,80,20,4.12,US,1730922810
114,susuman,62.7833,148.1667,-33.78,100,92,0.32,RU,1730922811
115,kiffa,16.6166,-11.4045,32.02,14,0,4.74,MR,1730922812
116,zapolyarnyy,69.4154,30.8136,-0.34,99,100,3.79,RU,1730922813
117,cabo san lucas,22.8909,-109.9124,24.96,59,84,4.67,MX,1730922609
118,thompson,55.7435,-97.8558,-1.91,93,100,4.63,CA,1730922815
119,sogndal,61.2283,7.1003,5.21,100,75,0.0,NO,1730922816
120,whitehorse,60.7161,-135.0538,2.43,59,75,5.14,CA,1730922593
121,mount pearl,47.5166,-52.7813,10.08,95,100,7.2,CA,1730922818
122,mersa matruh,31.3525,27.2453,22.11,73,40,5.66,EG,1730922819
123,cromwell,41.5951,-72.6454,26.15,60,20,5.66,US,1730922659
124,okakarara,-20.5833,17.4333,23.51,39,28,1.7,NA,1730922821
125,albany,42.6001,-73.9662,23.69,60,92,1.34,US,1730922621
126,brazzaville,-4.2658,15.2832,24.04,87,30,0.24,CG,1730922823
127,selfoss,63.9331,-20.9971,2.25,93,100,7.51,IS,1730922824
128,humaita,-7.5061,-63.0208,31.92,53,90,1.19,BR,1730922825
129,praia da vitoria,38.7333,-27.0667,16.14,72,20,3.61,PT,1730922826
130,hemsby,52.6971,1.6918,11.13,94,100,1.37,GB,1730922828
131,bubaque,11.2833,-15.8333,28.87,72,0,3.75,GW,1730922829
132,ulaangom,49.9811,92.0667,-3.17,93,35,0.63,MN,1730922830
133,nantucket,41.2835,-70.0995,19.06,77,0,9.77,US,1730922760
134,egilsstadir,65.2653,-14.3948,7.95,42,75,7.72,IS,1730922832
135,fuglafjordur,62.244,-6.814,8.79,98,100,9.6,FO,1730922833
136,la leonesa,-27.0379,-58.7035,31.76,55,56,1.92,AR,1730922834
137,nyahururu,0.0421,36.3673,12.21,88,95,2.85,KE,1730922835
138,sao gabriel da cachoeira,-0.1303,-67.0892,23.89,94,100,1.03,BR,1730922836
139,uturoa,-16.7333,-151.4333,27.04,77,36,2.59,PF,1730922837
140,sao joao da barra,-21.6403,-41.0511,27.05,85,0,8.37,BR,1730922838
141,utrik,11.2278,169.8474,28.49,82,100,9.51,MH,1730922839
142,ketchikan,55.3422,-131.6461,12.26,87,100,8.75,US,1730922841
143,ormara,25.2088,64.6357,27.02,79,0,5.99,PK,1730922842
144,puerto baquerizo moreno,-0.9,-89.6,24.55,88,75,5.66,EC,1730922843
145,alma,48.5501,-71.6491,5.83,81,88,3.41,CA,1730922834
146,gardabani,41.4605,45.0928,5.05,64,45,2.75,GE,1730922846
147,maturin,9.75,-63.1767,26.91,94,80,3.6,VE,1730922847
148,glace bay,46.1969,-59.957,20.09,71,100,8.34,CA,1730922848
149,chonchi,-42.6128,-73.8092,13.4,49,56,2.01,CL,1730922849
150,santa ana,33.7456,-117.8678,23.65,13,75,8.05,US,1730922850
151,keflavik,64.0049,-22.5624,3.24,87,100,10.29,IS,1730922851
152,gilleleje,56.122,12.3106,8.32,90,99,1.34,DK,1730922852
153,ilulissat,69.2167,-51.1,-5.99,63,40,4.63,GL,1730922853
154,katsuura,35.1333,140.3,15.08,77,40,6.01,JP,1730922854
155,rakops,-21.0167,24.3333,29.26,32,89,7.57,BW,1730922855
156,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,57,0,3.0,RU,1730922857
157,atafu village,-8.5421,-172.5159,27.93,76,25,3.78,TK,1730922729
158,ust-nera,64.5667,143.2,-28.73,99,62,1.57,RU,1730922859
159,vadso,70.0744,29.7487,1.09,86,75,3.09,NO,1730922860
160,anadyr,64.75,177.4833,-10.72,79,40,7.0,RU,1730922861
161,taveta,-3.3963,37.6736,22.87,75,66,2.26,KE,1730922862
162,greenville,35.6127,-77.3663,27.97,62,0,2.57,US,1730922592
163,taro,-8.3862,115.28,18.31,91,26,0.65,ID,1730922864
164,axim,4.8699,-2.2405,26.69,81,25,2.82,GH,1730922865
165,raiwind,31.2544,74.2178,21.91,35,0,2.04,PK,1730922866
166,taroa,8.7058,171.2275,28.72,79,100,10.39,MH,1730922867
167,new glasgow,45.5834,-62.6486,21.88,76,100,9.27,CA,1730922868
168,mermoz boabab,14.7065,-17.4758,27.88,74,0,0.0,SN,1730922869
169,sisimiut,66.9395,-53.6735,-10.0,78,8,5.38,GL,1730922870
170,choibalsan,48.0667,114.5,-4.72,84,98,1.04,MN,1730922871
171,sterlibashevo,53.4376,55.2578,-6.26,93,100,6.53,RU,1730922873
172,coquimbo,-29.9533,-71.3436,17.85,62,0,5.66,CL,1730922797
173,sovata,46.5833,25.0667,5.51,52,0,1.91,RO,1730922876
174,naze,28.3667,129.4833,18.51,65,79,5.26,JP,1730922877
175,machiques,10.0644,-72.545,31.69,62,75,1.93,VE,1730922878
176,lethem,3.3803,-59.7968,34.69,41,94,2.83,GY,1730922879
177,grazzanise,41.0894,14.1003,16.4,77,0,3.09,IT,1730922880
178,madang,-5.2246,145.7966,23.91,94,100,3.46,PG,1730922881
179,broome,42.2506,-75.833,22.03,66,100,6.17,US,1730922882
180,urazovo,50.0836,38.0395,6.26,94,100,5.45,RU,1730922883
181,flying fish cove,-10.4217,105.6791,25.82,88,75,4.63,CX,1730922884
182,olinda,-8.0089,-34.8553,27.85,69,75,5.66,BR,1730922885
183,tadine,-21.55,167.8833,22.78,75,17,4.52,NC,1730922886
184,punta arenas,-53.15,-70.9167,9.06,57,75,11.32,CL,1730922710
185,suva,-18.1416,178.4415,22.71,100,75,3.6,FJ,1730922889
186,kormilovka,55.0026,74.1028,-1.35,87,100,10.52,RU,1730922890
187,la sarre,48.8002,-79.1996,4.76,74,99,3.61,CA,1730922705
188,praya,14.9215,-23.5087,27.3,65,0,6.17,CV,1730922892
189,san salvador,13.6894,-89.1872,27.92,69,75,3.09,SV,1730922754
190,ilomantsi,62.6716,30.9328,0.2,99,93,2.54,FI,1730922894
191,codrington,-38.2667,141.9667,7.5,91,4,2.82,AU,1730922895
192,berezivka,47.2043,30.9078,5.56,32,0,2.57,UA,1730922896
193,las tejerias,10.2524,-67.1847,25.66,84,100,1.43,VE,1730922897
194,buka,40.8108,69.1986,6.45,82,99,0.65,UZ,1730922898
195,yarrawonga,-36.0167,146.0,13.09,81,100,4.51,AU,1730922899
196,murashi,59.3999,48.9615,-4.51,91,100,2.85,RU,1730922900
197,ploudalmezeau,48.5333,-4.65,12.21,100,7,3.09,FR,1730922648
198,gabu,12.2833,-14.2167,26.4,36,0,1.31,GW,1730922902
199,nova sintra,14.8667,-24.7167,26.94,75,100,8.01,CV,1730922903
200,tolstoy-yurt,43.4444,45.7722,6.18,56,40,0.0,RU,1730922905
201,ixtapa,20.7,-105.2,30.13,72,1,1.34,MX,1730922906
202,mejit,10.2753,170.8646,28.67,80,100,10.15,MH,1730922907
203,mata-utu,-13.2816,-176.1745,27.77,77,61,8.9,WF,1730922908
204,nova xavantina,-14.6667,-52.35,22.58,96,100,0.72,BR,1730922909
205,holualoa,19.6228,-155.9522,24.91,81,20,0.0,US,1730922910
206,boende,-0.2167,20.8667,22.5,96,100,0.93,CD,1730922911
207,huangpi,30.8845,114.3779,15.06,55,0,3.0,CN,1730922912
208,mana,5.6592,-53.7767,28.89,71,32,5.19,GF,1730922913
209,tura,25.5198,90.2201,18.14,84,0,1.7,IN,1730922914
210,ndele,8.4109,20.6473,24.04,43,5,1.8,CF,1730922915
211,vilyuysk,63.7553,121.6247,-14.68,99,100,1.77,RU,1730922916
212,paripiranga,-10.6875,-37.8617,26.86,40,51,8.41,BR,1730922917
213,usogorsk,63.4106,48.6872,-3.6,95,100,3.78,RU,1730922918
214,sitka,57.0531,-135.33,5.94,81,75,0.0,US,1730922919
215,castanos,26.7833,-101.4167,26.3,31,0,2.89,MX,1730922921
216,tazovsky,67.4667,78.7,-11.69,95,100,3.98,RU,1730922922
217,villefontaine,45.6125,5.1456,12.68,94,100,2.06,FR,1730922923
218,timbuktu,16.7735,-3.0074,28.52,14,0,4.57,ML,1730922924
219,labrador city,52.9463,-66.9114,0.1,71,75,27.72,CA,1730922925
220,kapuskasing,49.4169,-82.4331,2.05,93,100,4.12,CA,1730922926
221,yershov,51.3513,48.2766,-8.89,94,28,3.17,RU,1730922927
222,polyarnyy,69.1989,33.4478,1.54,83,100,7.53,RU,1730922928
223,cao bang,22.6667,106.25,18.59,77,68,0.94,VN,1730922929
224,luba,3.4568,8.5547,26.79,82,86,2.3,GQ,1730922931
225,dompu,-8.5356,118.4622,24.49,84,88,0.29,ID,1730922933
226,lata,40.1629,-8.3327,15.53,81,2,1.47,PT,1730922934
227,salahonda,2.1019,-78.7217,25.97,81,100,6.08,CO,1730922935
228,saudarkrokur,65.7461,-19.6394,3.27,67,100,1.24,IS,1730922936
229,island harbour,50.724,-1.2758,11.66,71,100,4.97,GB,1730922937
230,cabedelo,-6.9811,-34.8339,29.37,69,24,5.68,BR,1730922938
231,magdagachi,53.45,125.8,-17.56,98,17,0.96,RU,1730922939
232,oblivskaya,48.5362,42.5014,2.19,98,100,3.62,RU,1730922940
233,san luis de la loma,17.2706,-100.8939,29.4,69,62,2.45,MX,1730922941
234,usinsk,65.9939,57.5281,-5.29,96,100,5.13,RU,1730922942
235,sidi ifni,29.3797,-10.173,26.82,31,0,1.84,MA,1730922943
236,sanming,26.2486,117.6186,11.13,91,0,1.53,CN,1730922944
237,chernogorsk,53.8236,91.2842,-2.24,100,75,3.0,RU,1730922945
238,dingwall,57.5953,-4.4272,12.16,94,88,1.66,GB,1730922947
239,esmeraldas,-19.7625,-44.3139,22.42,81,34,3.92,BR,1730922948
240,zaragoza,41.6561,-0.8773,17.23,71,20,1.03,ES,1730922868
241,chegdomyn,51.1167,133.0167,-14.57,96,10,0.3,RU,1730922951
242,ponta delgada,37.7333,-25.6667,18.44,67,20,2.06,PT,1730922952
243,andalgala,-27.5819,-66.3165,28.71,42,1,3.08,AR,1730922953
244,hinatuan,8.3722,126.3342,24.36,94,70,1.34,PH,1730922954
245,flin flon,54.7682,-101.865,0.91,64,100,7.2,CA,1730922955
246,kununurra,-15.7667,128.7333,26.99,83,100,1.54,AU,1730922956
247,georgetown,5.4112,100.3354,25.96,82,20,1.03,MY,1730922957
248,saint-pierre,-21.3393,55.4781,23.82,78,0,2.06,RE,1730922808
249,bafata,12.1667,-14.75,26.58,40,0,1.57,GW,1730922959
250,haiku-pauwela,20.9219,-156.3051,27.01,68,20,11.18,US,1730922960
251,ouidah,6.3631,2.0851,27.06,77,32,3.19,BJ,1730922961
252,harper,4.375,-7.7169,25.73,84,2,3.7,LR,1730922963
253,zaozersk,69.4005,32.4476,0.52,87,100,6.62,RU,1730922964
254,greymouth,-42.4667,171.2,14.04,92,75,1.11,NZ,1730922965
255,sandnessjoen,66.0217,12.6316,9.06,93,75,7.72,NO,1730922771
256,hamilton,39.1834,-84.5333,20.9,90,100,3.6,US,1730922493
257,tumbes,-3.5667,-80.4414,24.97,69,75,4.12,PE,1730922968
258,tomatlan,19.9333,-105.25,31.07,59,5,3.45,MX,1730922969
259,ulladulla,-35.35,150.4667,21.32,67,100,3.83,AU,1730922970
